id;nombre;dane_id
1;AMAZONAS;91
2;ANTIOQUIA;05
3;ARAUCA;81
4;ATLÁNTICO;08
5;BOLÍVAR;13
6;BOYACÁ;15
7;CALDAS;17
8;CAQUETÁ;18
9;CASANARE;85
10;CAUCA;19
11;CESAR;20
12;CÓRDOBA;23
13;CUNDINAMARCA;25
14;GUAINÍA;94
16;GUAVIARE;95
17;HUILA;41
18;MAGDALENA;47
19;META;50
20;NARIÑO;52
21;NORTE DE SANTANDER;54
22;PUTUMAYO;86
23;QUINDÍO;63
24;RISARALDA;66
26;SANTANDER;68
27;SUCRE;70
28;TOLIMA;73
30;VICHADA;99
31;CHOCÓ;27
32;VAUPÉS;97
15;LA GUAJIRA;44
25;ARCHIPIÉLAGO DE SAN ANDRÉS. PROVIDENCIA Y SANTA CATALINA;88
33;BOGOTÁ. D.C.;11
29;VALLE DEL CAUCA;76
34;SUR CARIBE;33
